sweep,position,arm,shape,variant,cost_ms_per_s,control_ms_per_s,in_process_spread_percent
7,1,128,voice-stereo,clause-5,0.542276,0.547987,0.292
7,1,128,gain-chain,as-built,0.468360,0.467946,0.350
7,1,128,gain-chain,clause-5,0.470742,0.470211,0.403
7,2,256,voice-mono,as-built,0.484761,0.487058,0.128
7,2,256,voice-mono,clause-5,0.497048,0.497544,0.645
7,2,256,voice-stereo,as-built,0.538087,0.538420,0.378
7,2,256,voice-stereo,clause-5,0.594347,0.593872,0.114
7,2,256,gain-chain,as-built,0.437166,0.433799,0.749
7,2,256,gain-chain,clause-5,0.436261,0.433300,0.544
7,3,32,voice-mono,as-built,0.548034,0.560450,0.741
7,3,32,voice-mono,clause-5,0.562435,0.562072,0.390
7,3,32,voice-stereo,as-built,0.677902,0.678740,0.123
7,3,32,voice-stereo,clause-5,0.629609,0.636212,0.575
7,3,32,gain-chain,as-built,0.821178,0.824693,0.348
7,3,32,gain-chain,clause-5,0.830384,0.829383,0.256
7,4,64,voice-mono,as-built,0.511415,0.524503,0.155
7,4,64,voice-mono,clause-5,0.528285,0.531524,0.337
7,4,64,voice-stereo,as-built,0.585124,0.588484,0.082
7,4,64,voice-stereo,clause-5,0.572805,0.567755,0.067
7,4,64,gain-chain,as-built,0.572044,0.560905,0.459
7,4,64,gain-chain,clause-5,0.575905,0.571466,0.336
8,0,128,voice-mono,as-built,0.495460,0.496218,0.136
8,0,128,voice-mono,clause-5,0.505611,0.504633,0.401
8,0,128,voice-stereo,as-built,0.556328,0.554653,0.201
8,0,128,voice-stereo,clause-5,0.604976,0.604862,0.088
8,0,128,gain-chain,as-built,0.469449,0.466424,0.310
8,0,128,gain-chain,clause-5,0.465002,0.471624,0.388
8,1,256,voice-mono,as-built,0.539421,0.539411,0.184
8,1,256,voice-mono,clause-5,0.487756,0.486915,0.131
8,1,256,voice-stereo,as-built,0.537390,0.536331,0.698
8,1,256,voice-stereo,clause-5,0.547168,0.547047,0.182
8,1,256,gain-chain,as-built,0.431872,0.435173,1.058
8,1,256,gain-chain,clause-5,0.430695,0.430495,0.614
8,2,32,voice-mono,as-built,0.559796,0.544253,0.163
8,2,32,voice-mono,clause-5,0.562750,0.563005,0.598
8,2,32,voice-stereo,as-built,0.635715,0.632070,0.113
8,2,32,voice-stereo,clause-5,0.640596,0.630896,0.142
8,2,32,gain-chain,as-built,0.811676,0.813375,0.264
8,2,32,gain-chain,clause-5,0.820679,0.819989,0.085
8,3,64,voice-mono,as-built,0.569512,0.569657,0.092
8,3,64,voice-mono,clause-5,0.512608,0.529745,0.093
8,3,64,voice-stereo,as-built,0.582928,0.584977,0.449
8,3,64,voice-stereo,clause-5,0.632739,0.633180,0.154
8,3,64,gain-chain,as-built,0.572991,0.573938,0.270
8,3,64,gain-chain,clause-5,0.575032,0.575348,0.306
8,4,64b,voice-mono,as-built,0.569989,0.569924,0.040
8,4,64b,voice-mono,clause-5,0.513242,0.513385,0.140
8,4,64b,voice-stereo,as-built,0.582894,0.580414,0.262
8,4,64b,voice-stereo,clause-5,0.593635,0.592158,0.070
8,4,64b,gain-chain,as-built,0.574128,0.574621,0.688
8,4,64b,gain-chain,clause-5,0.584185,0.582986,0.808
9,0,256,voice-mono,as-built,0.489238,0.484255,0.631
9,0,256,voice-mono,clause-5,0.501171,0.501216,0.567
9,0,256,voice-stereo,as-built,0.587051,0.587778,0.138
9,0,256,voice-stereo,clause-5,0.541953,0.532338,0.321
9,0,256,gain-chain,as-built,0.425510,0.424147,0.781
9,0,256,gain-chain,clause-5,0.438283,0.432888,0.935
9,1,32,voice-mono,as-built,0.598447,0.598217,0.080
9,1,32,voice-mono,clause-5,0.600366,0.600566,0.119
9,1,32,voice-stereo,as-built,0.638712,0.634466,0.486
9,1,32,voice-stereo,clause-5,0.644115,0.640714,0.428
9,1,32,gain-chain,as-built,0.828284,0.828208,0.106
9,1,32,gain-chain,clause-5,0.830624,0.831203,0.170
9,2,64,voice-mono,as-built,0.569152,0.569763,0.068
9,2,64,voice-mono,clause-5,0.518190,0.513031,0.162
9,2,64,voice-stereo,as-built,0.583663,0.584497,0.345
9,2,64,voice-stereo,clause-5,0.632911,0.614471,0.082
9,2,64,gain-chain,as-built,0.573685,0.573853,0.170
9,2,64,gain-chain,clause-5,0.576329,0.576314,3.065
9,3,64b,voice-mono,as-built,0.569872,0.569630,0.078
9,3,64b,voice-mono,clause-5,0.521312,0.512738,0.125
9,3,64b,voice-stereo,as-built,0.583629,0.582056,0.587
9,3,64b,voice-stereo,clause-5,0.588143,0.592033,0.058
9,3,64b,gain-chain,as-built,0.582754,0.582955,0.160
9,3,64b,gain-chain,clause-5,0.585663,0.585377,0.167
9,4,128,voice-mono,as-built,0.494061,0.502852,0.489
9,4,128,voice-mono,clause-5,0.505918,0.509761,0.284
9,4,128,voice-stereo,as-built,0.600698,0.600016,0.101
9,4,128,voice-stereo,clause-5,0.544194,0.544509,0.414
9,4,128,gain-chain,as-built,0.464654,0.463247,0.575
9,4,128,gain-chain,clause-5,0.471657,0.466903,0.204
